Date,  Price  ,  Open  ,  High  ,  Low  ,  Vol  ,Change,direction,mavg
2023-09-29,15550,15800,16150,15550,12.38,-0.01,Decreasing,15600
2023-09-28,15750,15500,16050,15300,20.77,0.02,Increasing,15675
2023-09-27,15500,15250,15500,14500,30.5,0.02,Increasing,15616.66667
2023-09-26,15150,15800,16500,15150,33.77,-0.06,Decreasing,15500
2023-09-25,16200,17200,17600,16200,28.12,-0.07,Decreasing,15640
2023-09-22,17400,17700,17800,16950,36.48,-0.04,Decreasing,15933.33333
2023-09-21,18200,18750,19150,18000,30.13,-0.02,Decreasing,16257.14286
2023-09-20,18500,17200,18500,16600,40.16,0.07,Increasing,16537.5
2023-09-19,17300,18250,18450,17050,54.72,-0.05,Decreasing,16750
2023-09-18,18150,18900,18900,18050,28.32,-0.04,Decreasing,17050
2023-09-15,18900,19000,19250,18650,26.73,0.01,Increasing,17475
2023-09-14,18700,19600,19800,18600,76.98,-0.06,Decreasing,17918.75
2023-09-13,19950,21000,21100,19500,77.13,-0.05,Decreasing,18387.5
2023-09-12,20950,20150,20950,19650,57.21,0.02,Increasing,18831.25
2023-09-11,20500,22050,22200,20500,71.69,-0.07,Decreasing,19118.75
2023-09-08,22000,21600,22250,21400,52.61,0.02,Increasing,19556.25
2023-09-07,21600,22000,22150,21500,44.46,-0.01,Decreasing,20093.75
2023-09-06,21800,21300,21800,21000,46.22,0.02,Increasing,20550
2023-09-05,21400,20900,21700,20800,53.91,0.05,Increasing,20862.5
2023-08-31,20450,20100,20500,20000,36.64,0.02,Increasing,21081.25
2023-08-30,20050,20500,20600,19500,67.19,-0.01,Decreasing,21093.75
2023-08-29,20350,20200,21050,20100,40.37,0.02,Increasing,21018.75
2023-08-28,20000,19600,20100,19350,33.67,0.03,Increasing,20956.25
2023-08-25,19400,19800,20000,19300,33.52,-0.02,Decreasing,20631.25
2023-08-24,19800,18800,19950,18550,40.9,0.06,Increasing,20406.25
2023-08-23,18700,18800,19250,18550,29.6,0.01,Increasing,20018.75
2023-08-22,18500,18550,18900,17300,45.88,0,Decreasing,19656.25
2023-08-21,18500,18800,19100,18050,46.79,-0.04,Decreasing,19412.5
2023-08-18,19250,20450,20500,19250,73.13,-0.07,Decreasing,19312.5
2023-08-17,20650,20500,21150,20500,40.74,0,Decreasing,19350
2023-08-16,20650,20650,20900,20300,40.99,0,Decreasing,19431.25
2023-08-15,20750,21300,21400,20600,49.32,-0.02,Decreasing,19600
2023-08-14,21250,21200,21700,21050,44.64,0.02,Increasing,19781.25
2023-08-11,20900,20850,20950,20050,39.74,0.01,Increasing,20056.25
2023-08-10,20600,19900,21100,19900,61.8,0.04,Increasing,20318.75
2023-08-09,19900,20050,20300,19750,44.74,-0.02,Decreasing,20493.75
2023-08-08,20350,20500,20700,20050,44.21,0.01,Increasing,20631.25
2023-08-07,20200,20300,20700,19800,44.45,0.02,Increasing,20575
2023-08-04,19800,19550,19800,19050,79.62,0.07,Increasing,20468.75
2023-08-03,18550,18350,18600,18050,42.86,0.01,Increasing,20193.75
2023-08-02,18350,17750,18500,17700,43.28,0.03,Increasing,19831.25
2023-08-01,17800,18850,18900,17800,53.14,-0.06,Decreasing,19443.75
2023-07-31,18850,18150,18850,17700,56.59,0.03,Increasing,19225
2023-07-28,18350,17850,18900,17650,70.87,0.03,Increasing,19031.25
2023-07-27,17850,17300,18150,17200,71.12,0.04,Increasing,18718.75
2023-07-26,17200,16250,17200,16050,73.23,0.06,Increasing,18343.75
2023-07-25,16200,16500,16900,16050,42.47,0,Decreasing,17893.75
2023-07-24,16200,15400,16200,15400,95.94,0.07,Increasing,17600
2023-07-21,15150,14800,15200,14700,34.69,0.02,Increasing,17200
2023-07-20,14800,14700,14900,14600,16.99,0.01,Increasing,16825
2023-07-19,14700,15100,15200,14650,34.69,-0.02,Decreasing,16306.25
2023-07-18,15050,15200,15250,14850,28.46,-0.02,Decreasing,15893.75
2023-07-17,15350,15300,15500,15100,36.93,0.01,Increasing,15581.25
2023-07-14,15150,15050,15350,14900,43.04,0.01,Increasing,15325
2023-07-13,14950,14700,15150,14600,30.51,0.02,Increasing,15168.75
2023-07-12,14600,14800,14850,14450,21.67,-0.01,Decreasing,14968.75
2023-07-11,14700,15000,15050,14650,17.74,-0.01,Decreasing,14912.5
2023-07-10,14900,14600,15100,14500,27.53,0.03,Increasing,14925
2023-07-07,14500,14250,14550,14250,19.48,0.01,Increasing,14900
2023-07-06,14400,14700,14750,14200,23.89,-0.02,Decreasing,14818.75
2023-07-05,14700,15000,15100,14700,24.05,-0.01,Decreasing,14737.5
2023-07-04,14850,14550,14850,14350,23.18,0.02,Increasing,14700
2023-07-03,14550,15000,15050,14500,30.11,-0.02,Decreasing,14650
2023-06-30,14850,15000,15250,14850,27.93,-0.01,Decreasing,14681.25
2023-06-29,15000,15800,15800,15000,39.22,-0.04,Decreasing,14718.75
2023-06-28,15600,15350,15850,15150,70.79,0.04,Increasing,14806.25
2023-06-27,15000,15000,15350,14850,31.02,0.01,Increasing,14868.75
2023-06-26,14900,14650,15200,14450,50.45,0.03,Increasing,14931.25
2023-06-23,14500,14800,14850,14300,31.11,-0.01,Decreasing,14906.25
2023-06-22,14650,14550,15000,14500,29.99,0.01,Increasing,14881.25
2023-06-21,14500,14600,14600,14250,28.74,0,Decreasing,14875
2023-06-20,14500,14050,14550,14000,23.52,0.04,Increasing,14831.25
2023-06-19,14000,14900,15000,14000,67.22,-0.06,Decreasing,14706.25
2023-06-16,14900,15450,15600,14800,51.56,-0.02,Decreasing,14618.75
2023-06-15,15250,15200,15450,15050,32.79,0,Increasing,14650
2023-06-14,15200,15600,15850,15200,38.8,-0.03,Decreasing,14687.5
2023-06-13,15600,14700,15600,14450,77.65,0.07,Increasing,14825
2023-06-12,14600,14800,15000,14200,29.16,0,Decreasing,14818.75
2023-06-09,14600,14250,14700,14150,30.83,0.03,Increasing,14831.25
2023-06-08,14200,14800,15000,14200,35.67,-0.02,Decreasing,14793.75
